Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
APLI.JK,967,241,0.6514522821576764,314,653,"[-4.84757191e-02 -9.07728216e-02 -1.45143746e-02  4.06946583e-02
 -3.61881881e-04 -2.55097610e+00]",-0.7313262652322452
APLN.JK,967,241,0.5892116182572614,341,626,[ 0.00468544 -0.05081779 -0.01403992  0.02001118 -0.01641849  0.16043574],-0.6113986579968488
ARCI.JK,344,85,0.5882352941176471,124,220,[ 0.00587955 -0.02404748  0.16375108  0.02996055 -0.00673475  0.51616395],-0.5665242848726593
ARGO.JK,560,139,0.7194244604316546,172,388,[-0.41398863  0.03205705 -0.01052617  0.21207466 -0.01329102 -1.36294986],-0.8222967574591663
ARII.JK,955,238,0.6890756302521008,213,742,[-0.19414849  0.00068646 -0.01964733  0.13722719 -0.00910189  0.22261166],-1.2667170362206286
ARKA.JK,444,110,0.8545454545454545,84,360,[ 0.33987941 -0.04540135  0.32402228 -0.38382166 -0.04512616 -0.69067192],-1.5024612502180754
ARKO.JK,143,35,0.4857142857142857,52,91,[-0.00287465 -0.20173491  0.23855692  0.0940727   0.35551919  0.01986305],-0.62767558079029
ARMY.JK,310,77,0.8051948051948052,94,216,[-0.04540153  0.03528246  0.06810357 -0.36261846  0.01961636 -0.16886728],-0.8413978289040795
ARNA.JK,967,241,0.6431535269709544,345,622,[-0.05032835 -0.0331262   0.0075952   0.06717397 -0.00354314 -0.04255094],-0.5861775060033177
ARTA.JK,966,241,0.6514522821576764,274,692,[ 0.14756658  0.04259873 -0.00151797 -0.01314796 -0.0184196  -1.17730502],-0.934301675436
ARTO.JK,967,241,0.6390041493775933,383,584,[-0.02286913  0.007347   -0.00199983 -0.00677588 -0.00763158 -0.36747945],-0.4276895539722915
ASBI.JK,968,241,0.5311203319502075,221,747,[-0.22305387 -0.01833795 -0.04297699  0.08392119  0.00372084 -0.69644613],-1.216393552497451
ASDM.JK,967,241,0.6639004149377593,203,764,[-0.09191263 -0.04978372 -0.06164419 -0.06485015 -0.00251036 -1.73861314],-1.340701610980883
ASGR.JK,967,241,0.6514522821576764,344,623,"[-3.26502038e-03 -4.52142174e-03 -3.94369182e-03  4.45881833e-02
 -3.55439243e-04 -1.15152326e+00]",-0.585376839574218
ASHA.JK,166,41,0.6341463414634146,57,109,[ 0.03979766 -0.07437649  0.08445815  0.18480142  0.09577578  0.65650767],-0.6341364438819314
